#TIME	REQUESTED	python	slurm_script	sps	tclsh8.6
62	10.000000	4.61528	0.00292969	0.00195312	0
63	10.000000	4.61528	0.00292969	0.00195312	0
64	10.000000	4.61528	0.00292969	0.00195312	0
65	10.000000	4.61528	0.00292969	0.00195312	0
66	10.000000	4.61528	0.00292969	0.00195312	0
67	10.000000	4.61528	0.00292969	0.00195312	0
68	10.000000	4.61528	0.00292969	0.00195312	0
69	10.000000	4.61528	0.00292969	0.00195312	0
70	10.000000	4.61528	0.00292969	0.00195312	0
71	10.000000	4.61528	0.00292969	0.00195312	0
72	10.000000	4.61528	0.00292969	0.00195312	0
73	10.000000	4.61528	0.00292969	0.00195312	0
74	10.000000	4.61528	0.00292969	0.00195312	0
75	10.000000	4.61528	0.00292969	0.00195312	0
76	10.000000	4.61528	0.00292969	0.00195312	0
77	10.000000	4.61528	0.00292969	0.00195312	0
78	10.000000	4.61528	0.00292969	0.00195312	0
79	10.000000	4.61528	0.00292969	0.00195312	0
80	10.000000	4.61528	0.00292969	0.00195312	0
81	10.000000	4.61528	0.00292969	0.00195312	0
82	10.000000	4.61528	0.00292969	0.00195312	0
83	10.000000	4.61528	0.00292969	0.00195312	0
84	10.000000	5.88091	0.00292969	0.00195312	0
85	10.000000	7.30962	0.00292969	0.00195312	0
86	10.000000	8.33989	0.00292969	0.00195312	0
87	10.000000	8.33989	0.00292969	0.00195312	0
88	10.000000	8.33989	0.00292969	0.00195312	0
89	10.000000	8.33989	0.00292969	0.00195312	0
90	10.000000	5.22025	0.00292969	0.00195312	0
91	10.000000	6.23294	0.00292969	0.00195312	0
92	10.000000	7.30911	0.00292969	0.00195312	0
93	10.000000	8.56595	0.00292969	0.00195312	0
94	10.000000	9.37161	0.00292969	0.00195312	0
95	10.000000	9.9722	0.00292969	0.00195312	0
96	10.000000	0	0.00292969	0.00195312	0
97	10.000000	0.0341797	0.00292969	0.00195312	0
98	10.000000	0.0830078	0.00292969	0.00195312	0
99	10.000000	0.0908203	0.00292969	0.00195312	0
100	10.000000	0.104492	0.00292969	0.00195312	0
101	10.000000	0.111328	0.00292969	0.00195312	0
102	10.000000	0.112305	0.00292969	0.00195312	0
103	10.000000	0.128906	0.00292969	0.00195312	0
104	10.000000	0.168945	0.00292969	0.00195312	0
105	10.000000	0.209961	0.00292969	0.00195312	0
106	10.000000	0.46582	0.00292969	0.00195312	0
107	10.000000	0.512695	0.00292969	0.00195312	0
108	10.000000	0.533203	0.00292969	0.00195312	0
109	10.000000	0.540039	0.00292969	0.00195312	0
110	10.000000	0.564453	0.00292969	0.00195312	0
111	10.000000	0.588867	0.00292969	0.00195312	0
112	10.000000	0.603516	0.00292969	0.00195312	0
113	10.000000	0.643555	0.00292969	0.00195312	0
114	10.000000	0.708984	0.00292969	0.00195312	0
115	10.000000	0.767391	0.00292969	0.00195312	0
116	10.000000	1.32762	0.00292969	0.00195312	0
117	10.000000	2.58739	0.00292969	0.00195312	0
118	10.000000	2.80809	0.00292969	0.00195312	0
119	10.000000	2.80809	0.00292969	0.00195312	0
120	10.000000	2.80809	0.00292969	0.00195312	0
121	10.000000	2.80809	0.00292969	0.00195312	0
122	10.000000	2.80809	0.00292969	0.00195312	0
